version,elapsed_time,maze_size,n_particles,generation_seed,solution_seed,maze_image_path
sequential,24500.4,51,10000,3500345927,1325547350,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:25:11_1325547350.txt"
parallel,4159.64,51,10000,3500345927,1325547350,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:25:16_1325547350.txt"
sequential,338.024,51,10000,2244171576,787728352,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:25:16_787728352.txt"
parallel,99.263,51,10000,2244171576,787728352,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:25:16_787728352.txt"
sequential,17090,51,10000,2849517420,2603260266,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:25:33_2603260266.txt"
parallel,2967.69,51,10000,2849517420,2603260266,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:25:36_2603260266.txt"
sequential,1976.29,51,10000,1068203630,2129782229,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:25:38_2129782229.txt"
parallel,352.072,51,10000,1068203630,2129782229,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:25:38_2129782229.txt"
sequential,112.5,51,10000,2359626929,3253656792,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:25:39_3253656792.txt"
parallel,43.496,51,10000,2359626929,3253656792,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:25:39_3253656792.txt"
sequential,8347.69,51,10000,2186020406,4109308916,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:25:47_4109308916.txt"
parallel,1834.06,51,10000,2186020406,4109308916,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:25:49_4109308916.txt"
sequential,19570.3,51,10000,303778528,2417284881,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:26:08_2417284881.txt"
parallel,3431.42,51,10000,303778528,2417284881,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:26:12_2417284881.txt"
sequential,15192.1,51,10000,3749557669,3600182592,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:26:27_3600182592.txt"
parallel,2960.41,51,10000,3749557669,3600182592,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:26:30_3600182592.txt"
sequential,228.922,51,10000,4153125349,2604393369,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/sequential_23-05-19T17:26:30_2604393369.txt"
parallel,77.025,51,10000,4153125349,2604393369,"/home/scrayil/Desktop/dev/University/projects/PPFML/RandomMazeSolver/results/mazes/parallel_23-05-19T17:26:30_2604393369.txt"
